ID,Exact label,Normalized name,Value,Qualifier,Unit,Data type,Definition,Page,Section,Category (IAOOI-v0),AoO chapter,Geographic level,Geographic scope,Period,Source (quote),Confidence,Status,DQ refs,Note
IND-001,young leaders,network.young_leaders.headline,100000,at_least,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,v,Executive Summary,CONTEXT,—,global_network,GLOBAL,NOT SPECIFIED,"a global network of over 100,000 young leaders in more than 100 countries",H,extracted,DQC-01,
IND-002,countries,network.countries.headline,100,at_least,country,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,v,Executive Summary,CONTEXT,—,global_network,GLOBAL,NOT SPECIFIED,in more than 100 countries,H,extracted,DQC-02,
IND-003,projects implemented (2024–2025),activity.projects_implemented,1000,at_least,project,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,v,Executive Summary,ACTIVITY,—,global_network,GLOBAL,2024–2025,"1,000+ projects implemented (2024–2025)",H,extracted,DQC-03,
IND-004,beneficiaries reached worldwide,output.beneficiaries_reached.headline,21000000,at_least,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,v,Executive Summary,OUTPUT,—,global_network,GLOBAL,NOT SPECIFIED,21 million+ beneficiaries reached worldwide,M,extracted,,
IND-005,volunteers engaged,input.volunteers_engaged.headline,40000,at_least,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,v,Executive Summary,INPUT,—,global_network,GLOBAL,NOT SPECIFIED,"40,000+ volunteers engaged",H,extracted,DQC-05,
IND-006,hours of service,input.volunteer_hours.headline,435000,at_least,hour,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,v,Executive Summary,INPUT,—,global_network,GLOBAL,NOT SPECIFIED,"contributing 435,000+ hours of service",H,extracted,,
IND-007,Local Organizations mobilized across continents,input.local_organizations_mobilized,4500,at_least,local_organization,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,v,Executive Summary,INPUT,—,global_network,GLOBAL,NOT SPECIFIED,"4,500+ Local Organizations mobilized across continents",M,extracted,DQC-04,
IND-008,Projects addressing all 17 Sustainable Development Goals (SDGs),coverage.sdgs_addressed,17,exact,sdg,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,v,Executive Summary,UNCERTAIN,—,global_network,GLOBAL,NOT SPECIFIED,Projects addressing all 17 Sustainable Development Goals (SDGs),M,extracted,,"tag coverage, not a result"
IND-009,attendees participating in international events,output.event_attendees.headline,10000,at_least,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,v,Executive Summary,OUTPUT,—,global_network,GLOBAL,NOT SPECIFIED,"10,000+ attendees participating in international events",H,extracted,DQC-06,
IND-010,participants trained through global and regional conferences,output.people_trained.conferences,1969,exact,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,v (+42),Executive Summary,OUTPUT,—,event,Area Conferences + World Congress,NOT SPECIFIED,"1,969 participants trained through global and regional conferences",H,extracted,,
IND-011,leadership training sessions,activity.leadership_training_sessions,33,exact,session,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,v (+42),Executive Summary,ACTIVITY,—,event,Area Conferences + World Congress,NOT SPECIFIED,33 leadership training sessions,H,extracted,,
IND-012,skills development sessions,activity.skills_development_sessions,48,exact,session,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,v (+42),Executive Summary,ACTIVITY,—,event,Area Conferences + World Congress,NOT SPECIFIED,48 skills development sessions delivered,H,extracted,,
IND-013,members trained through sustainable leadership and global citizenship courses,output.members_trained.courses,Hundreds,exact,text_quantifier,text,NOT SPECIFIED IN THE SOURCE DOCUMENT,v,Executive Summary,OUTPUT,—,global_network,GLOBAL,NOT SPECIFIED,Hundreds of members trained through sustainable leadership and global citizenship courses,M,extracted,,non-numeric quantifier; never convert to a number
IND-014,Initiatives implemented collaboratively across … National Organizations,network.national_organizations.collaborative_initiatives,114,exact,national_organization,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,v,Executive Summary,UNCERTAIN,—,global_network,GLOBAL,NOT SPECIFIED,Initiatives implemented collaboratively across 114 National Organizations,M,extracted,,
IND-015,members engaged in cross-border exchanges and global initiatives,output.members_cross_border,Thousands,exact,text_quantifier,text,NOT SPECIFIED IN THE SOURCE DOCUMENT,v,Executive Summary,OUTPUT,—,global_network,GLOBAL,NOT SPECIFIED,Thousands of members engaged in cross-border exchanges and global initiatives,L,extracted,,
IND-016,dollars mobilized in resources,input.resources_mobilized,Millions,exact,text_quantifier,text,NOT SPECIFIED IN THE SOURCE DOCUMENT,v,Executive Summary,INPUT,—,global_network,GLOBAL,NOT SPECIFIED,Millions of dollars mobilized in resources,L,extracted,,
IND-017,followers across JCI's digital platforms,comm.followers.all_platforms.headline,260000,at_least,follower,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,v,Executive Summary,OUTPUT,—,digital_channel,all platforms,NOT SPECIFIED,"260,000+ followers across JCI's digital platforms",H,extracted,DQC-07,
IND-018,impressions,comm.impressions.headline,2000000,at_least,impression,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,v,Executive Summary,OUTPUT,—,digital_channel,NOT SPECIFIED,NOT SPECIFIED,2 million+ impressions,M,extracted,DQC-08,
IND-019,The Leader Magazine: readers,comm.leader.readers.headline,13800,approx,reader,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,v,Executive Summary,OUTPUT,—,digital_channel,The LEADER Magazine,NOT SPECIFIED,"The Leader Magazine: 13,800 readers across 70+ countries",H,extracted,DQC-09,
IND-020,The Leader Magazine: countries,comm.leader.countries,70,at_least,country,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,v,Executive Summary,OUTPUT,—,digital_channel,The LEADER Magazine,NOT SPECIFIED,"13,800 readers across 70+ countries",M,extracted,DQC-09,not supported in body (only top-10 lists p. 20)
IND-021,JCI Senators,network.senators.headline,84375,exact,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,v (+100),Executive Summary,CONTEXT,—,global_network,GLOBAL,NOT SPECIFIED,"84,375 JCI Senators continuing the mentorship and leadership legacy",H,extracted,,
IND-022,young leaders across four Areas,network.young_leaders.president_message,100000,at_least,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,vi,Message from JCI President,CONTEXT,—,global_network,GLOBAL,NOT SPECIFIED,"More than 100,000 young leaders across four Areas came together",H,extracted,DQC-01,
IND-023,"projects across more than 4,500 Local Organizations",activity.projects.sg_message,10000,at_least,project,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,vii,Message from Interim Secretary General,ACTIVITY,—,global_network,GLOBAL,NOT SPECIFIED,"over 10,000 projects across more than 4,500 Local Organizations",M,extracted,DQC-03,
IND-024,Local Organizations (SG message),network.local_organizations.sg_message,4500,at_least,local_organization,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,vii,Message from Interim Secretary General,CONTEXT,—,global_network,GLOBAL,NOT SPECIFIED,"across more than 4,500 Local Organizations",H,extracted,DQC-04,
IND-025,age of members (lower bound),network.member_age.min,18,exact,year,integer,"a global, non-profit organization of young people between 18 and 40",2,Organization Overview,CONTEXT,—,global_network,GLOBAL,NOT SPECIFIED,young people between 18 and 40,H,extracted,,
IND-026,age of members (upper bound),network.member_age.max,40,exact,year,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,2,Organization Overview,CONTEXT,—,global_network,GLOBAL,NOT SPECIFIED,young people between 18 and 40,H,extracted,,
IND-027,year founded,network.founded_year,1915,exact,year,date_year,NOT SPECIFIED IN THE SOURCE DOCUMENT,2,Organization Overview,CONTEXT,—,global_network,GLOBAL,NOT SPECIFIED,Founded in 1915 by Henry Giessenbier Jr.,H,extracted,,
IND-028,countries (overview),network.countries.overview,114,at_least,country,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,2,Organization Overview,CONTEXT,—,global_network,GLOBAL,Today (as printed),present in more than 114 countries,H,extracted,DQC-02,
IND-029,members (overview),network.members.overview,147000,at_least,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,2,Organization Overview,CONTEXT,—,global_network,GLOBAL,Today (as printed),"with over 147,000 members",H,extracted,DQC-01,
IND-030,Local Organizations (overview),network.local_organizations.overview,4600,approx,local_organization,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,2,Organization Overview,CONTEXT,—,global_network,GLOBAL,Today (as printed),"4,600 Local Organizations worldwide",H,extracted,DQC-04,
IND-031,partner of the United Nations since,network.un_partner_since,1954,exact,year,date_year,NOT SPECIFIED IN THE SOURCE DOCUMENT,2,Organization Overview,CONTEXT,—,global_network,GLOBAL,NOT SPECIFIED,A partner of the United Nations since 1954 with ECOSOC General Consultative Status,H,extracted,,
IND-032,survey respondents,survey.respondents,3767,exact,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,3,The Profile of a JCI Member,CONTEXT,—,survey_sample,2025 Membership Experience Survey,2025,"gathered the voices of 3,767 members",H,extracted,,
IND-033,average age of a JCI member,survey.average_age,32,exact,year,decimal,NOT SPECIFIED IN THE SOURCE DOCUMENT,3,The Profile of a JCI Member,CONTEXT,—,survey_sample,2025 Membership Experience Survey,2025,The average age of a JCI member is 32,H,extracted,,
IND-034,average age — Africa & the Middle East,survey.average_age.afme,29,exact,year,decimal,NOT SPECIFIED IN THE SOURCE DOCUMENT,3,The Profile of a JCI Member,CONTEXT,—,survey_sample,AFME,2025,members in Africa & the Middle East are the youngest at 29,H,extracted,,
IND-035,average age — Europe,survey.average_age.europe,36,exact,year,decimal,NOT SPECIFIED IN THE SOURCE DOCUMENT,3,The Profile of a JCI Member,CONTEXT,—,survey_sample,EUROPE,2025,Europe shows a more mature profile at 36,H,extracted,,
IND-036,members involved between 1–6 years,survey.tenure_1_6_years,Nearly half,exact,text_quantifier,text,NOT SPECIFIED IN THE SOURCE DOCUMENT,3,The Profile of a JCI Member,CONTEXT,—,survey_sample,2025 Membership Experience Survey,2025,Nearly half of members have been involved between 1–6 years,M,extracted,,
IND-037,members active for more than 7 years,survey.tenure_over_7_years,900,at_least,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,3,The Profile of a JCI Member,CONTEXT,—,survey_sample,2025 Membership Experience Survey,2025,a strong segment of over 900 members has remained active for more than 7 years,H,extracted,,
IND-038,male respondents,survey.gender.male,0.567,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,3,The Profile of a JCI Member,CONTEXT,—,survey_sample,2025 Membership Experience Survey,2025,56.7% male,H,extracted,,
IND-039,female respondents,survey.gender.female,0.43,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,3,The Profile of a JCI Member,CONTEXT,—,survey_sample,2025 Membership Experience Survey,2025,43% female respondents,H,extracted,,
IND-040,respondents identifying outside the binary,survey.gender.other,a small percentage,exact,text_quantifier,text,NOT SPECIFIED IN THE SOURCE DOCUMENT,3,The Profile of a JCI Member,CONTEXT,—,survey_sample,2025 Membership Experience Survey,2025,a small percentage identifying outside the binary,M,extracted,,
IND-041,employed full-time,survey.employment.full_time,1636,exact,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,3,The Profile of a JCI Member,CONTEXT,—,survey_sample,2025 Membership Experience Survey,2025,"employed full-time (1,636)",H,extracted,,
IND-042,entrepreneurs/self-employed,survey.employment.entrepreneur,1166,exact,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,3,The Profile of a JCI Member,CONTEXT,—,survey_sample,2025 Membership Experience Survey,2025,"entrepreneurs/self-employed (1,166)",H,extracted,,
IND-043,completed undergraduate studies,survey.education.undergraduate,1450,at_least,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,3,The Profile of a JCI Member,CONTEXT,—,survey_sample,2025 Membership Experience Survey,2025,"over 1,450 respondents having completed undergraduate studies",H,extracted,,
